Location,Month,T_avg_min,T_avg_max,H_min,H_max,P_min,P_max,T_avg_range,H_range,P_range
Melbourne,3,14.795,24.155,66.0,68.0,1019.99,1025.92,9.360000000000001,2.0,5.930000000000064
Melbourne,4,9.985,18.245,77.0,78.0,1010.61,1021.89,8.260000000000002,1.0,11.279999999999973
Melbourne,5,10.685,15.445,68.0,81.0,1002.98,1015.94,4.76,13.0,12.960000000000036
Melbourne,6,7.335,11.905,71.0,74.0,1006.86,1015.21,4.569999999999999,3.0,8.350000000000023
Melbourne,7,8.23,14.82,79.0,81.0,1018.64,1027.19,6.59,2.0,8.550000000000068
Melbourne,8,11.19,15.935,54.0,85.0,1003.82,1013.91,4.745000000000001,31.0,10.089999999999918
Melbourne,9,6.82,18.775,62.0,76.0,1018.54,1020.24,11.954999999999998,14.0,1.7000000000000455
Melbourne,10,9.67,20.945,63.0,68.0,1015.06,1017.6,11.275,5.0,2.5400000000000773
Melbourne,11,8.62,18.975,66.0,72.0,1015.61,1024.42,10.355000000000002,6.0,8.81000000000006
Melbourne,12,13.445,23.165,59.0,66.0,1009.18,1014.27,9.719999999999999,7.0,5.090000000000032
Paris,1,6.27,8.805,80.0,86.0,997.82,1002.47,2.535,6.0,4.649999999999977
Paris,2,2.3049999999999997,5.76,73.0,87.0,996.35,1005.74,3.455,14.0,9.389999999999986
Paris,3,4.31,8.725,85.0,90.0,1000.42,1022.61,4.415,5.0,22.190000000000055
Paris,4,2.56,8.985,62.0,75.0,1007.27,1011.32,6.424999999999999,13.0,4.050000000000068
Paris,5,9.26,18.355,60.0,77.0,1018.85,1019.11,9.095,17.0,0.2599999999999909
Paris,6,10.195,20.58,64.0,68.0,1021.24,1022.78,10.384999999999998,4.0,1.5399999999999636
Paris,7,15.105,26.195,60.0,61.0,1012.79,1018.14,11.09,1.0,5.350000000000023
Paris,8,14.52,23.18,67.0,77.0,1010.98,1016.7,8.66,10.0,5.720000000000027
Paris,9,11.615,20.11,65.0,79.0,997.23,1028.48,8.495,14.0,31.25
Paris,10,9.105,22.155,66.0,80.0,1025.44,1028.72,13.05,14.0,3.2799999999999727
Paris,11,7.205,12.235,80.0,92.0,999.27,1029.95,5.029999999999999,12.0,30.680000000000064
Paris,12,5.845,11.29,87.0,89.0,995.17,1021.62,5.444999999999999,2.0,26.450000000000045
Sydney,1,19.86,25.95,56.99999999999999,81.0,1010.73,1014.27,6.09,24.000000000000007,3.5399999999999636
Sydney,2,19.700000000000003,25.009999999999998,64.0,88.0,1001.35,1023.34,5.309999999999995,24.0,21.99000000000001
Sydney,3,17.28,24.93,65.0,75.0,1017.4,1018.96,7.649999999999999,10.0,1.5600000000000591
Sydney,4,15.36,19.06,76.0,76.0,1029.65,1029.65,3.6999999999999993,0.0,0.0
Sydney,5,10.405000000000001,22.869999999999997,68.0,74.0,1023.9,1024.36,12.464999999999996,6.0,0.4599999999999227
Sydney,6,6.025,18.965,66.0,70.0,1019.66,1033.15,12.94,4.0,13.490000000000123
Sydney,7,10.004999999999999,18.33,57.99999999999999,80.0,1012.71,1026.37,8.325,22.000000000000007,13.659999999999854
Sydney,8,9.215,17.545,76.0,80.0,1017.88,1024.42,8.330000000000002,4.0,6.540000000000077
Sydney,9,11.48,24.545,51.0,69.0,1011.06,1023.27,13.065000000000001,18.0,12.210000000000036
Sydney,10,14.094999999999999,28.22,37.0,40.0,1006.86,1016.86,14.125,3.0,10.0
Sydney,11,16.78,26.625,63.0,84.0,1011.47,1013.2,9.844999999999999,21.0,1.7300000000000182
Sydney,12,20.32,29.72,74.0,80.0,1009.91,1013.04,9.399999999999999,6.0,3.1299999999999955
Toronto,1,-4.0649999999999995,1.44,67.0,81.0,1004.8,1030.74,5.504999999999999,14.0,25.940000000000055
Toronto,2,-6.574999999999999,-0.8549999999999999,66.0,67.0,1013.09,1025.5,5.72,1.0,12.409999999999968
Toronto,3,-4.49,2.1849999999999996,56.00000000000001,67.0,1011.11,1030.77,6.675,10.999999999999993,19.659999999999968
Toronto,4,6.385,18.2,46.0,51.0,1015.21,1017.1,11.815,5.0,1.8899999999999864
Toronto,5,14.434999999999999,22.46,48.0,95.0,1004.83,1013.63,8.025000000000002,47.0,8.799999999999955
Toronto,6,12.934999999999999,22.915,53.0,66.0,1009.55,1020.16,9.98,13.0,10.610000000000014
Toronto,7,18.855,30.71,53.0,62.0,1011.13,1014.68,11.855,9.0,3.5499999999999545
Toronto,8,18.47,25.725,64.0,79.0,1009.04,1012.33,7.255000000000003,15.0,3.2900000000000773
Toronto,9,13.780000000000001,18.56,77.0,83.0,1010.76,1010.8,4.779999999999998,6.0,0.03999999999996362
Toronto,10,10.829999999999998,19.689999999999998,77.0,80.0,1011.43,1012.93,8.86,3.0,1.5
Toronto,11,3.1550000000000002,7.995,67.0,75.0,1015.06,1016.87,4.84,8.0,1.8100000000000591
Toronto,12,-1.96,1.85,76.0,83.0,1016.13,1018.36,3.81,7.0,2.230000000000018
